name,datetime,block_ix,trial_ix,sound_x,sound_y,reversed,category,similarity,notes,repeat
sample_output,"July 24th 2017, 9:36:45 pm",1,1,174,257,0,zipper,3,None,0
sample_output,"July 24th 2017, 9:36:47 pm",1,2,345,440,1,zipper,1,None,0
sample_output,"July 24th 2017, 9:36:50 pm",1,3,440,494,0,zipper,3,None,1
sample_output,"July 24th 2017, 9:36:50 pm",1,4,494,525,1,zipper,3,None,0
sample_output,"July 24th 2017, 9:36:52 pm",1,5,65,207,1,zipper,3,None,0
sample_output,"July 24th 2017, 9:37:00 pm",1,6,207,247,0,zipper,4,None,3
sample_output,"July 24th 2017, 9:37:04 pm",1,7,247,330,1,zipper,1,None,0
